service,total cost,domain name, hosting ,dn registration,date
DN & Hosting,12000,12000,0,8000,29-Jul-19
DN & Hosting,216000,36000,180000,8500,08-Aug-19
DN & Hosting,72000,12000,60000,8000,04-Sep-19
DN & Hosting,198000,18000,180000,8500,25-Sep-19
DN & Hosting,46000,6000,40000,1900,18-Feb-20
DN & Hosting,72000,12000,60000,7500,14-Jun-20
DN & Hosting,87000,12000,75000,7500,16-Jun-20
DN & Hosting,12000,12000,0,7500,16-Jul-20
DN,12000,12000,0,7500,16-Jul-20
DN & Hosting,42000,12000,30000,12000,19-Jul-20
DN,12000,12000,0,7000,28-Aug-20
DN & Hosting,42000,12000,30000,12000,04-Sep-20
DN & Hosting,42000,12000,30000,12000,07-Oct-20
DN & Hosting,45000,15000,30000,12000,20-Oct-20
DN & Hosting,60000,0,60000,12000,27-Nov-20
DN & Hosting,42000,12000,30000,12000,08-Mar-21
DN & Hosting,42000,12000,30000,7500,15-Mar-21
DN & Hosting,42000,12000,30000,7500,26-Mar-21
DN & Hosting,42000,12000,30000,7500,03-May-21
DN & Hosting,78000,18000,60000,7500,17-May-21
DN & Hosting,42000,12000,30000,7500,12-Jul-21
DN & Hosting,48000,18000,30000,7500,22-Jul-21
DN & Hosting,42000,12000,30000,7500,08-Aug-21
DN & Hosting,192000,12000,180000,13000,05-Mar-22
Hosting,30000,0,30000,0,08-Apr-22
Hosting,30000,0,30000,0,21-May-22
